ident,type,name,latitude_deg,longitude_deg,iso_country,municipality,longest_runway_ft,Amiri,A319_Amiri
KDMA,medium_airport,Davis Monthan Air Force Base,32.1665000916,-110.883003235,US,Tucson,13643.0,0,0
KDMN,medium_airport,Deming Municipal Airport,32.262298584,-107.721000671,US,Deming,6627.0,0,0
KDNL,medium_airport,Daniel Field,33.4664993286,-82.0393981934,US,Augusta,4002.0,0,0
KDOV,medium_airport,Dover Air Force Base,39.129501,-75.466003,US,Dover,12903.0,0,0
KDPA,medium_airport,Dupage Airport,41.90779877,-88.24859619,US,Chicago/West Chicago,7570.0,0,0
KDRA,medium_airport,Desert Rock Airport,36.6194,-116.032997,US,Mercury,7515.0,0,0
KDRI,medium_airport,Beauregard Regional Airport,30.831699,-93.339897,US,DeRidder,5495.0,0,0
KDRO,medium_airport,Durango La Plata County Airport,37.151501,-107.753998,US,Durango,9201.0,0,0
KDRT,medium_airport,Del Rio International Airport,29.3742008209,-100.927001953,US,Del Rio,6300.0,0,0
KDSM,medium_airport,Des Moines International Airport,41.534,-93.663101,US,Des Moines,9003.0,0,0
KDTS,medium_airport,Destin Executive Airport,30.400101,-86.471497,US,Destin,5001.0,0,0
KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,US,Detroit,12003.0,1,0
KDUA,medium_airport,Durant Regional Airport - Eaker Field,33.939675,-96.395072,US,Durant,6800.0,0,0
KDUG,medium_airport,Bisbee Douglas International Airport,31.4689998627,-109.603996277,US,Douglas Bisbee,7503.0,0,0
KDUJ,medium_airport,DuBois Regional Airport,41.17829895,-78.8986969,US,Dubois,5504.0,0,0
KDVL,medium_airport,Devils Lake Regional Airport,48.115454,-98.908796,US,Devils Lake,5509.0,0,0
KDXR,medium_airport,Danbury Municipal Airport,41.371656,-73.482227,US,Danbury,4422.0,0,0
KDYS,medium_airport,Dyess Air Force Base,32.420799,-99.854599,US,Abilene,13500.0,0,0
KEAR,medium_airport,Kearney Regional Airport,40.727001,-99.006798,US,Kearney,7094.0,0,0
KEAT,medium_airport,Pangborn Memorial Airport,47.398899,-120.207001,US,Wenatchee,7000.0,0,0
KEAU,medium_airport,Chippewa Valley Regional Airport,44.86579895019531,-91.48429870605467,US,Eau Claire,8101.0,0,0
KECG,medium_airport,Elizabeth City Regional Airport & Coast Guard Air Station,36.260601,-76.174599,US,Elizabeth City,7219.0,0,0
KECP,medium_airport,Northwest Florida Beaches International Airport,30.357106,-85.795414,US,Panama City Beach,10000.0,0,0
KEDW,medium_airport,Edwards Air Force Base,34.905399,-117.884003,US,Edwards,15024.0,0,0
KEED,medium_airport,Needles Airport,34.7663002014,-114.623001099,US,Needles,5005.0,0,0
KEEN,medium_airport,Dillant Hopkins Airport,42.898399,-72.270798,US,Keene,6201.0,0,0
KEET,medium_airport,Shelby County Airport,33.17699814,-86.78279877,US,Alabaster,5000.0,0,0
KEFD,medium_airport,Ellington Airport,29.6072998047,-95.1587982178,US,Houston,9001.0,0,0
KEGE,medium_airport,Eagle County Regional Airport,39.64260101,-106.9179993,US,Eagle,9000.0,0,0
KEGI,medium_airport,Duke Field,30.65040016,-86.52290344,US,Crestview,8000.0,0,0
KEKA,medium_airport,Murray Field,40.803398,-124.112999,US,Eureka,3000.0,0,0
KEKN,medium_airport,Elkins-Randolph County Regional Airport,38.889759,-79.857651,US,Elkins,4543.0,0,0
KEKO,medium_airport,Elko Regional Airport,40.82490158081055,-115.79199981689452,US,Elko,7214.0,0,0
KELD,medium_airport,South Arkansas Regional Airport at Goodwin Field,33.221001,-92.813301,US,El Dorado,6600.0,0,0
KELM,medium_airport,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,US,Elmira/Corning,7000.0,0,0
KELO,medium_airport,Ely Municipal Airport,47.82450104,-91.83070374,US,Ely,5600.0,0,0
KELP,medium_airport,El Paso International Airport,31.807199,-106.377998,US,El Paso,12020.0,0,0
KELY,medium_airport,Ely Airport Yelland Field,39.29970169,-114.8420029,US,Ely,6018.0,0,0
KEND,medium_airport,Vance Air Force Base,36.339199,-97.916496,US,Enid,9202.0,0,0
KENV,medium_airport,Wendover Airport,40.7187004089,-114.03099823,US,Wendover,8001.0,0,0
